canonical_column,attribute,construct,status,media,scale,definition,film_r,book_r,tier,cross_medium,source_column,validated,heldout_tier,heldout_r,heldout_ci_lo,heldout_ci_hi
genre_Western,Western,genre,main,"film,book,tv",0--100,"Intensity of the Western genre; scored against the IMDb ""Western"" label",0.99,,--,False,genre_Western,True,A,0.99,0.987,0.992
genre_Animation,Animation,genre,main,"film,book,tv",0--100,"Intensity of the Animation genre; scored against the IMDb ""Animation"" label",0.99,,--,False,genre_Animation,True,A,0.99,0.987,0.992
genre_Documentary,Documentary,genre,main,"film,book,tv",0--100,"Intensity of the Documentary genre; scored against the IMDb ""Documentary"" label",0.99,,--,False,genre_Documentary,True,A,0.99,0.987,0.992
genre_Horror,Horror,genre,main,"film,book,tv",0--100,"Intensity of the Horror genre; scored against the IMDb ""Horror"" label",0.98,,--,False,genre_Horror,True,A,0.98,0.974,0.984
genre_Science_Fiction,Science Fiction,genre,main,"film,book,tv",0--100,"Intensity of the Science Fiction genre; scored against the IMDb ""Sci-Fi"" label",0.97,,--,False,genre_Science_Fiction,True,A,0.97,0.962,0.977
genre_War,War,genre,main,"film,book,tv",0--100,"Intensity of the War genre; scored against the IMDb ""War"" label",0.95,,--,False,genre_War,True,A,0.95,0.936,0.961
genre_Historical,Historical,genre,main,"film,book,tv",0--100,"Intensity of the Historical genre; scored against the IMDb ""History"" label",0.94,,--,False,genre_Historical,True,A,0.94,0.923,0.953
genre_Comedy,Comedy,genre,main,"film,book,tv",0--100,"Intensity of the Comedy genre; scored against the IMDb ""Comedy"" label",0.92,,--,False,genre_Comedy,True,A,0.92,0.898,0.937
genre_Fantasy,Fantasy,genre,main,"film,book,tv",0--100,"Intensity of the Fantasy genre; scored against the IMDb ""Fantasy"" label",0.91,,--,False,genre_Fantasy,True,A,0.91,0.886,0.929
genre_Musical,Musical,genre,main,"film,book,tv",0--100,"Intensity of the Musical genre; scored against the IMDb ""Musical"" label",0.9,,--,False,genre_Musical,True,A,0.9,0.873,0.922
genre_Action,Action,genre,main,"film,book,tv",0--100,"Intensity of the Action genre; scored against the IMDb ""Action"" label",0.89,,--,False,genre_Action,True,A,0.89,0.86,0.914
genre_Adventure,Adventure,genre,main,"film,book,tv",0--100,"Intensity of the Adventure genre; scored against the IMDb ""Adventure"" label",0.89,,--,False,genre_Adventure,True,A,0.89,0.86,0.914
genre_Mystery,Mystery,genre,main,"film,book,tv",0--100,"Intensity of the Mystery genre; scored against the IMDb ""Mystery"" label",0.88,,--,False,genre_Mystery,True,A,0.88,0.848,0.906
genre_Crime,Crime,genre,main,"film,book,tv",0--100,"Intensity of the Crime genre; scored against the IMDb ""Crime"" label",0.88,,--,False,genre_Crime,True,A,0.88,0.848,0.906
genre_Thriller,Thriller,genre,main,"film,book,tv",0--100,"Intensity of the Thriller genre; scored against the IMDb ""Thriller"" label",0.85,,--,False,genre_Thriller,True,A,0.85,0.811,0.882
genre_Family,Family,genre,main,"film,book,tv",0--100,"Intensity of the Family genre; scored against the IMDb ""Family"" label",0.85,,--,False,genre_Family,True,A,0.85,0.811,0.882
genre_Romance,Romance,genre,main,"film,book,tv",0--100,"Intensity of the Romance genre; scored against the IMDb ""Romance"" label",0.84,,--,False,genre_Romance,True,A,0.84,0.798,0.874
genre_Drama,Drama,genre,main,"film,book,tv",0--100,"Intensity of the Drama genre; scored against the IMDb ""Drama"" label",0.79,,--,False,genre_Drama,True,A,0.79,0.737,0.833
6_how_science_fictional_was_the_world_of_the_movie_by_science_fictiona,sci-fi world,structure,main,"film,tv",1--7,How science-fictional was the world of the movie?,0.785,0.87,A,True,6_how_science_fictional_was_the_world_of_the_movie_by_science_fictiona,True,A,0.87,0.825,0.904
visual_Dark,Visual: Dark,texture,main,"film,tv",0--100,"Strength of the ""Dark"" visual descriptor implied by the summary",0.73,,A,False,visual_Dark,True,A,0.73,0.665,0.784
5_how_fantastical_was_the_world_of_the_movies_by_fantastical_we_mean_a,fantastical world,structure,main,"film,tv",1--7,How fantastical was the world of the movies?,0.741,0.78,A,True,5_how_fantastical_was_the_world_of_the_movies_by_fantastical_we_mean_a,True,A,0.78,0.709,0.835
score_Ominous,Score: Ominous,texture,main,"film,tv",0--100,"Strength of the ""Ominous"" score descriptor implied by the summary",0.66,,A,False,score_Ominous,True,A,0.66,0.582,0.726
acting_Campy,Acting: Campy,texture,main,"film,tv",0--100,"Strength of the ""Campy"" acting descriptor implied by the summary",0.62,,A,False,acting_Campy,True,A,0.62,0.536,0.692
visual_Saturated,Visual: Saturated,texture,main,"film,tv",0--100,"Strength of the ""Saturated"" visual descriptor implied by the summary",0.65,,A,False,visual_Saturated,True,A,0.65,0.571,0.717
5_if_you_checked_any_of_the_above_how_relevant_are_these_aspect_s_of_t,identity relevance,structure,main,"film,tv",1--5,"If you checked any of the above, how relevant are these aspect(s) of their identity …",0.64,0.363,A,True,5_if_you_checked_any_of_the_above_how_relevant_are_these_aspect_s_of_t,True,A,0.64,0.559,0.709
