canonical_column,attribute,construct,media,scale,film_r,book_r,variant_selected,r_cv5,eff_film_r,r_used,ci_lo,ci_hi,old_tier,new_tier,old_validated,new_validated,r_basis
genre_Western,Western,genre,"film,book,tv",0--100,0.99,,False,,0.99,0.99,0.987,0.992,--,A,True,True,ROC AUC vs IMDb tags
genre_Animation,Animation,genre,"film,book,tv",0--100,0.99,,False,,0.99,0.99,0.987,0.992,--,A,True,True,ROC AUC vs IMDb tags
genre_Documentary,Documentary,genre,"film,book,tv",0--100,0.99,,False,,0.99,0.99,0.987,0.992,--,A,True,True,ROC AUC vs IMDb tags
genre_Horror,Horror,genre,"film,book,tv",0--100,0.98,,False,,0.98,0.98,0.974,0.984,--,A,True,True,ROC AUC vs IMDb tags
genre_Science_Fiction,Science Fiction,genre,"film,book,tv",0--100,0.97,,False,,0.97,0.97,0.962,0.977,--,A,True,True,ROC AUC vs IMDb tags
genre_War,War,genre,"film,book,tv",0--100,0.95,,False,,0.95,0.95,0.936,0.961,--,A,True,True,ROC AUC vs IMDb tags
genre_Historical,Historical,genre,"film,book,tv",0--100,0.94,,False,,0.94,0.94,0.923,0.953,--,A,True,True,ROC AUC vs IMDb tags
genre_Comedy,Comedy,genre,"film,book,tv",0--100,0.92,,False,,0.92,0.92,0.898,0.937,--,A,True,True,ROC AUC vs IMDb tags
genre_Fantasy,Fantasy,genre,"film,book,tv",0--100,0.91,,False,,0.91,0.91,0.886,0.929,--,A,True,True,ROC AUC vs IMDb tags
genre_Musical,Musical,genre,"film,book,tv",0--100,0.9,,False,,0.9,0.9,0.873,0.922,--,A,True,True,ROC AUC vs IMDb tags
genre_Action,Action,genre,"film,book,tv",0--100,0.89,,False,,0.89,0.89,0.86,0.914,--,A,True,True,ROC AUC vs IMDb tags
genre_Adventure,Adventure,genre,"film,book,tv",0--100,0.89,,False,,0.89,0.89,0.86,0.914,--,A,True,True,ROC AUC vs IMDb tags
genre_Mystery,Mystery,genre,"film,book,tv",0--100,0.88,,False,,0.88,0.88,0.848,0.906,--,A,True,True,ROC AUC vs IMDb tags
