canonical_column,construct,media,survey_question,response_scale,survey_source,llm_prompt,prompt_source
genre_Western,genre,"film,book,tv",What movie genre(s) do you believe this movie belongs to? Select all that apply.,select-all checkbox; this attribute = the 'Western' option (0/1),raw survey Movie Q724 (genre select-all),"On a scale 0-100, how strongly does the genre 'Western' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
genre_Animation,genre,"film,book,tv",,,LLM-only: 'Animation' is not among survey Q724's 10 genre options; scored 0-100 vs the IMDb 'Animation' label,"On a scale 0-100, how strongly does the genre 'Animation' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
genre_Documentary,genre,"film,book,tv",,,LLM-only: 'Documentary' is not among survey Q724's 10 genre options; scored 0-100 vs the IMDb 'Documentary' label,"On a scale 0-100, how strongly does the genre 'Documentary' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
genre_Horror,genre,"film,book,tv",What movie genre(s) do you believe this movie belongs to? Select all that apply.,select-all checkbox; this attribute = the 'Horror' option (0/1),raw survey Movie Q724 (genre select-all),"On a scale 0-100, how strongly does the genre 'Horror' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
genre_Science_Fiction,genre,"film,book,tv",What movie genre(s) do you believe this movie belongs to? Select all that apply.,select-all checkbox; this attribute = the 'Science Fiction' option (0/1),raw survey Movie Q724 (genre select-all),"On a scale 0-100, how strongly does the genre 'Science Fiction' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
genre_War,genre,"film,book,tv",,,LLM-only: 'War' is not among survey Q724's 10 genre options; scored 0-100 vs the IMDb 'War' label,"On a scale 0-100, how strongly does the genre 'War' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
genre_Historical,genre,"film,book,tv",,,LLM-only: 'Historical' is not among survey Q724's 10 genre options; scored 0-100 vs the IMDb 'Historical' label,"On a scale 0-100, how strongly does the genre 'Historical' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
genre_Comedy,genre,"film,book,tv",What movie genre(s) do you believe this movie belongs to? Select all that apply.,select-all checkbox; this attribute = the 'Comedy' option (0/1),raw survey Movie Q724 (genre select-all),"On a scale 0-100, how strongly does the genre 'Comedy' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
genre_Fantasy,genre,"film,book,tv",What movie genre(s) do you believe this movie belongs to? Select all that apply.,select-all checkbox; this attribute = the 'Fantasy' option (0/1),raw survey Movie Q724 (genre select-all),"On a scale 0-100, how strongly does the genre 'Fantasy' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
genre_Musical,genre,"film,book,tv",,,LLM-only: 'Musical' is not among survey Q724's 10 genre options; scored 0-100 vs the IMDb 'Musical' label,"On a scale 0-100, how strongly does the genre 'Musical' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
