medium,attr,n,r
film,9_how_realistic_did_you_find_the_dialogue_in_the_movie,8874,0.6739691260352456
film,1_how_many_protagonists_were_there_a_protagonist_is_the_person_or_enti,8122,0.031
film,3_approximately_how_many_named_side_characters_are_in_this_movie_feel,8890,0.4403580907368033
film,5_if_you_checked_any_of_the_above_how_relevant_are_these_aspect_s_of_t,8854,0.013
film,8a_how_likable_was_this_protagonist_by_likable_we_mean_easy_to_relate,8886,0.038
film,8b_how_competent_was_this_protagonist_by_competent_we_mean_effective_a,8902,0.017
film,11_how_real_did_this_protagonist_feel_to_you,8905,0.025
film,12_how_emotionally_invested_were_you_in_this_protagonist,8918,0.7162865501688868
film,13_how_relatable_did_you_find_this_protagonist,8913,0.016
film,5_in_your_opinion_how_would_you_rate_the_quality_of_the_character_writ,8914,-0.0
film,3_how_realistic_was_the_world_of_the_movie_by_realistic_we_mean_plausi,8902,0.028
film,5_how_fantastical_was_the_world_of_the_movies_by_fantastical_we_mean_a,8915,0.889
film,6_how_science_fictional_was_the_world_of_the_movie_by_science_fictiona,8921,0.865
film,7_overall_how_relevant_was_world_building_to_the_movie_world_building,8915,0.665
film,8_how_many_major_settings_does_the_movie_contain_here_we_re_asking_you,4947,0.007
film,5_in_your_opinion_how_would_you_rate_the_quality_of_the_setting_and_wo,8908,0.002
film,7_on_the_whole_how_would_you_describe_the_pace_of_the_movie_pace_is_th,8904,0.4529186989739291
film,12a_on_a_scale_of_1_entirely_unresolved_to_7_entirely_resolved,8905,0.6338954248272544
film,12b_on_a_scale_of_1_very_unsurprising_predictable_to_7_very_surprising,8921,0.5708896779316904
film,12c_on_a_scale_of_1_very_confusing_to_7_very_easy_to_understand,8922,0.5387334758546876
film,19_how_convincing_did_you_find_the_plot_by_convincing_we_mean_believab,8918,0.713
film,3_how_evocative_did_you_find_the_visual_style_by_evocative_we_mean_aff,8897,0.029
film,4_how_interesting_did_you_find_the_visual_style_by_interesting_we_mean,8892,0.042
film,7_now_let_s_talk_pun_intended_about_dialogue_in_your_opinion_how_was_t,8896,0.0
film,8_how_engaging_did_you_find_the_dialogue_in_the_movie,8897,0.6574785678108908
film,5_to_what_extent_did_you_feel_moved_by_this_movie_on_an_emotional_basi,8918,0.025
film,13_how_much_did_you_like_the_score,8673,0.5661350194320789
film,8c_how_proactive_was_this_protagonist_by_proactive_we_mean_motivated_a,8914,0.611
film,character_development,8919,0.7242810253509974
film,opening_hook,8922,0.64420577707407
film,time_linearity,8922,0.6159506634024173
film,plot_linearity,8921,0.6401979039748518
film,ending_reversal,8917,0.5332750162519562
tv,9_how_realistic_did_you_find_the_dialogue_in_the_movie,7393,0.6260950678015544
tv,1_how_many_protagonists_were_there_a_protagonist_is_the_person_or_enti,7156,0.026
tv,3_approximately_how_many_named_side_characters_are_in_this_movie_feel,7416,0.5035767646446495
tv,5_if_you_checked_any_of_the_above_how_relevant_are_these_aspect_s_of_t,7347,0.068
tv,8a_how_likable_was_this_protagonist_by_likable_we_mean_easy_to_relate,7378,0.693
tv,8b_how_competent_was_this_protagonist_by_competent_we_mean_effective_a,7401,0.013
tv,11_how_real_did_this_protagonist_feel_to_you,7407,0.693
tv,12_how_emotionally_invested_were_you_in_this_protagonist,7416,0.6827668263798908
tv,13_how_relatable_did_you_find_this_protagonist,7411,0.66
tv,5_in_your_opinion_how_would_you_rate_the_quality_of_the_character_writ,7411,0.014
tv,3_how_realistic_was_the_world_of_the_movie_by_realistic_we_mean_plausi,7390,0.821
tv,5_how_fantastical_was_the_world_of_the_movies_by_fantastical_we_mean_a,7409,0.905
tv,6_how_science_fictional_was_the_world_of_the_movie_by_science_fictiona,7416,0.902
tv,7_overall_how_relevant_was_world_building_to_the_movie_world_building,7414,0.023
tv,8_how_many_major_settings_does_the_movie_contain_here_we_re_asking_you,6805,0.018
tv,5_in_your_opinion_how_would_you_rate_the_quality_of_the_setting_and_wo,7401,0.102
tv,7_on_the_whole_how_would_you_describe_the_pace_of_the_movie_pace_is_th,7416,0.4679175646185853
tv,12a_on_a_scale_of_1_entirely_unresolved_to_7_entirely_resolved,7414,0.5700091180218539
tv,12b_on_a_scale_of_1_very_unsurprising_predictable_to_7_very_surprising,7417,0.5830968025764788
tv,12c_on_a_scale_of_1_very_confusing_to_7_very_easy_to_understand,7417,0.6356066001847349
tv,19_how_convincing_did_you_find_the_plot_by_convincing_we_mean_believab,7411,0.715
tv,3_how_evocative_did_you_find_the_visual_style_by_evocative_we_mean_aff,7407,0.602
tv,4_how_interesting_did_you_find_the_visual_style_by_interesting_we_mean,7410,0.031
tv,7_now_let_s_talk_pun_intended_about_dialogue_in_your_opinion_how_was_t,7407,-0.01
tv,8_how_engaging_did_you_find_the_dialogue_in_the_movie,7404,0.534205015429461
tv,5_to_what_extent_did_you_feel_moved_by_this_movie_on_an_emotional_basi,7416,0.021
tv,13_how_much_did_you_like_the_score,7211,0.3843796538191461
tv,8c_how_proactive_was_this_protagonist_by_proactive_we_mean_motivated_a,7406,0.023
tv,character_development,7414,0.7934054142339992
tv,opening_hook,7417,0.7826829688980922
tv,time_linearity,7416,0.6145745021651794
tv,plot_linearity,7416,0.6546473787600838
tv,ending_reversal,7415,0.6909292076361844
book,1_how_many_protagonists_were_there_a_protagonist_is_the_person_or_enti,6921,0.6512416169315588
book,5_if_you_checked_any_of_the_above_how_relevant_are_these_aspect_s_of_t,6920,0.7825697462790058
book,8a_how_likable_was_this_protagonist_by_likable_we_mean_easy_to_relate,6907,0.716
book,8b_how_competent_was_this_protagonist_by_competent_we_mean_effective_a,6910,0.686
book,8c_how_proactive_was_this_protagonist_by_proactive_we_mean_motivated_a,6911,0.635
book,11_how_real_did_this_protagonist_feel_to_you,6916,0.3967906086369662
book,12_how_emotionally_invested_were_you_in_this_protagonist,6918,0.6857098155949833
book,13_how_relatable_did_you_find_this_protagonist,6919,0.6478377583666628
book,5_in_your_opinion_how_would_you_rate_the_quality_of_the_character_writ,6919,0.5887042113285276
book,3_how_realistic_was_the_world_of_the_movie_by_realistic_we_mean_plausi,6915,0.7685218146320298
book,5_how_fantastical_was_the_world_of_the_movies_by_fantastical_we_mean_a,6917,0.9062923402091692
book,6_how_science_fictional_was_the_world_of_the_movie_by_science_fictiona,6919,0.9106784630976806
book,7_overall_how_relevant_was_world_building_to_the_movie_world_building,6920,0.7961263492200574
book,8_how_many_major_settings_does_the_movie_contain_here_we_re_asking_you,6895,0.7419386728733123
book,5_in_your_opinion_how_would_you_rate_the_quality_of_the_setting_and_wo,6917,0.712538878118482
book,7_on_the_whole_how_would_you_describe_the_pace_of_the_movie_pace_is_th,6919,0.5765995514499974
book,12a_on_a_scale_of_1_entirely_unresolved_to_7_entirely_resolved,6917,0.5135447587143458
book,12b_on_a_scale_of_1_very_unsurprising_predictable_to_7_very_surprising,6919,0.6018330438763128
book,12c_on_a_scale_of_1_very_confusing_to_7_very_easy_to_understand,6919,0.4743155398862582
book,19_how_convincing_did_you_find_the_plot_by_convincing_we_mean_believab,6917,0.5431085740962366
book,5_to_what_extent_did_you_feel_moved_by_this_movie_on_an_emotional_basi,6918,0.7319246847315627
