column,medium,source,needs_rescore,deployed_prompt,canonical_prompt,ensemble,low_signal,genre_track
5_in_your_opinion_how_would_you_rate_the_quality_of_the_setting_and_wo,film,prompts_master,False,"Based only on this film's plot, answer: In your opinion, how would you rate the quality of the setting and world-building in this movie, on a scale of 1-7? Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.","Based only on this film's plot, answer: In your opinion, how would you rate the quality of the setting and world-building in this movie, on a scale of 1-7? Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.",False,False,False
7_now_let_s_talk_pun_intended_about_dialogue_in_your_opinion_how_was_t,film,prompts_master,False,"Based only on this film's plot, answer: Now, let’s talk (pun intended) about dialogue! In your opinion, how was the quality of dialogue throughout the movie? Give a number 2-5 (2=lowest, 5=highest). Return ONLY JSON {""v"": number}.","Based only on this film's plot, answer: Now, let’s talk (pun intended) about dialogue! In your opinion, how was the quality of dialogue throughout the movie? Give a number 2-5 (2=lowest, 5=highest). Return ONLY JSON {""v"": number}.",False,False,False
5_in_your_opinion_how_would_you_rate_the_quality_of_the_character_writ,film,prompts_master,False,"Based only on this film's plot, answer: In your opinion, how would you rate the quality of the setting and world-building in this movie, on a scale of 1-7? Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.","Based only on this film's plot, answer: In your opinion, how would you rate the quality of the setting and world-building in this movie, on a scale of 1-7? Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.",False,False,False
7_on_the_whole_how_would_you_describe_the_pace_of_the_movie_pace_is_th,film,prompts_master,False,"Consider this movie. On the whole, how would you describe the pace of the movie? Pace is the speed at which Respond 1 (not at all) to 5 (extremely). Return ONLY JSON {""v"": number}.","Consider this film. On the whole, how would you describe the pace of the movie? Pace is the speed at which the story develops - how quickly or slowly it moves (and is perceived to be moving by the reader). It’s controlled through elements like the length of scenes, the depth of description, and the rate of action. Respond 1 (not at all) to 5 (extremely). Return ONLY JSON {""v"": number}.",False,False,False
8b_how_competent_was_this_protagonist_by_competent_we_mean_effective_a,film,prompts_master,False,"Consider this film. How competent was this protagonist? By competent, we mean effective at the activities and tasks that matter to them. Respond 1 (not at all) to 5 (extremely). Return ONLY JSON {""v"": number}.","Consider this film. How competent was this protagonist? By competent, we mean effective at the activities and tasks that matter to them. Respond 1 (not at all) to 5 (extremely). Return ONLY JSON {""v"": number}.",False,False,False
5_to_what_extent_did_you_feel_moved_by_this_movie_on_an_emotional_basi,film,prompts_master,False,"Consider this film. To what extent did you feel moved by this movie on an emotional basis? An intellectual basis? Respond 1 (not at all) to 5 (extremely). Return ONLY JSON {""v"": number}.","Consider this film. To what extent did you feel moved by this movie on an emotional basis? An intellectual basis? Respond 1 (not at all) to 5 (extremely). Return ONLY JSON {""v"": number}.",False,False,False
9_how_realistic_did_you_find_the_dialogue_in_the_movie,film,prompts_master,False,"Based only on this movie's plot, answer: How realistic did you find the dialogue in the movie? Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.","Based only on this movie's plot, answer: How realistic did you find the dialogue in the movie? Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.",False,False,False
7_overall_how_relevant_was_world_building_to_the_movie_world_building,film,prompts_master,False,"Based only on this film's plot, answer: Overall, how relevant was world-building to the movie? World-building is defined as the process of developing a detailed and plausible fictional world. It’s most critical when the world in question is meaningfully different from our own - or even a different planet entirely. For example, world-building would be more relevant to a sci-fi story in which people travel between multiverses - not currently possible! - than a contemporary novel in which people travel to different countries. Give a number 1-5 (1=lowest, 5=highest). Return ONLY JSON {""v"": number}.","Based only on this film's plot, answer: Overall, how relevant was world-building to the movie? World-building is defined as the process of developing a detailed and plausible fictional world. It’s most critical when the world in question is meaningfully different from our own - or even a different planet entirely. For example, world-building would be more relevant to a sci-fi story in which people travel between multiverses - not currently possible! - than a contemporary novel in which people travel to different countries. Give a number 1-5 (1=lowest, 5=highest). Return ONLY JSON {""v"": number}.",False,False,False
2_how_interesting_do_you_personally_find_the_movie_s_themes,film,prompts_master,False,"Based only on this movie's plot, answer: How interesting do you personally find the movie's themes? Give a number 1-5 (1=lowest, 5=highest). Return ONLY JSON {""v"": number}.","Based only on this movie's plot, answer: How interesting do you personally find the movie's themes? Give a number 1-5 (1=lowest, 5=highest). Return ONLY JSON {""v"": number}.",False,False,False
4_how_interesting_did_you_find_the_visual_style_by_interesting_we_mean,film,prompts_master,False,"Based only on this film's plot, answer: How interesting did you find the visual style? By interesting we mean noteworthy, attention-grabbing, and creative. Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.","Based only on this film's plot, answer: How interesting did you find the visual style? By interesting we mean noteworthy, attention-grabbing, and creative. Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.",False,False,False
