medium,attr,n,r
film,9_how_realistic_did_you_find_the_dialogue_in_the_movie,8874,0.6739691260352456
film,1_how_many_protagonists_were_there_a_protagonist_is_the_person_or_enti,8119,0.5669367681529065
film,3_approximately_how_many_named_side_characters_are_in_this_movie_feel,8890,0.4403580907368033
film,5_if_you_checked_any_of_the_above_how_relevant_are_these_aspect_s_of_t,8852,0.6019344556590422
film,8a_how_likable_was_this_protagonist_by_likable_we_mean_easy_to_relate,8883,0.7297714876864131
film,8b_how_competent_was_this_protagonist_by_competent_we_mean_effective_a,8900,0.657101493494787
film,11_how_real_did_this_protagonist_feel_to_you,8902,0.7168651137784896
film,12_how_emotionally_invested_were_you_in_this_protagonist,8918,0.7162865501688868
film,13_how_relatable_did_you_find_this_protagonist,8910,0.6914707963336423
film,5_in_your_opinion_how_would_you_rate_the_quality_of_the_character_writ,8911,0.6893935780355058
film,3_how_realistic_was_the_world_of_the_movie_by_realistic_we_mean_plausi,8900,0.7920173605392644
film,5_how_fantastical_was_the_world_of_the_movies_by_fantastical_we_mean_a,8913,0.8801529520393986
film,6_how_science_fictional_was_the_world_of_the_movie_by_science_fictiona,8919,0.859582772562511
film,7_overall_how_relevant_was_world_building_to_the_movie_world_building,8913,0.6233177576788754
film,8_how_many_major_settings_does_the_movie_contain_here_we_re_asking_you,4947,0.6837327531511562
film,5_in_your_opinion_how_would_you_rate_the_quality_of_the_setting_and_wo,8905,0.6743999670126968
film,7_on_the_whole_how_would_you_describe_the_pace_of_the_movie_pace_is_th,8904,0.4529186989739291
film,12a_on_a_scale_of_1_entirely_unresolved_to_7_entirely_resolved,8905,0.6338954248272544
film,12b_on_a_scale_of_1_very_unsurprising_predictable_to_7_very_surprising,8921,0.5708896779316904
film,12c_on_a_scale_of_1_very_confusing_to_7_very_easy_to_understand,8922,0.5387334758546876
film,19_how_convincing_did_you_find_the_plot_by_convincing_we_mean_believab,8915,0.7085636422640781
film,3_how_evocative_did_you_find_the_visual_style_by_evocative_we_mean_aff,8895,0.7034906035621858
film,4_how_interesting_did_you_find_the_visual_style_by_interesting_we_mean,8891,0.6400389781298771
film,7_now_let_s_talk_pun_intended_about_dialogue_in_your_opinion_how_was_t,8894,0.6402687552431571
film,8_how_engaging_did_you_find_the_dialogue_in_the_movie,8897,0.6574785678108908
film,5_to_what_extent_did_you_feel_moved_by_this_movie_on_an_emotional_basi,8916,0.6979857471062816
film,13_how_much_did_you_like_the_score,8673,0.5661350194320789
film,8c_how_proactive_was_this_protagonist_by_proactive_we_mean_motivated_a,8912,0.5596482790383983
film,character_development,8919,0.7242810253509974
film,opening_hook,8922,0.64420577707407
film,time_linearity,8922,0.6159506634024173
film,plot_linearity,8921,0.6401979039748518
film,ending_reversal,8917,0.5332750162519562
tv,9_how_realistic_did_you_find_the_dialogue_in_the_movie,7393,0.6260950678015544
tv,1_how_many_protagonists_were_there_a_protagonist_is_the_person_or_enti,7156,0.5613833368651344
tv,3_approximately_how_many_named_side_characters_are_in_this_movie_feel,7416,0.5035767646446495
